,deploy_num,halodule,zostera,ruppia,algae,oyster,other,richness,shannonD,evenness,seagrass,richness_comb,shannonD_comb,total_cover,avg_blade_length,avg_shoot_density,max10,depth_m_avg,sal_avg,total_abund_sum,comm_richness_sum,comm_shannonD_sum,comm_evenness_sum,carnivore,herbivore,omnivore,soniferous_S,carn_2,detritivore,herb_2,invertivore,omni_2,piscivore,planktivore,num_bai_chr,num_ort_chr,num_ops_tau,seagrass_area,seagrass_core.area,seagrass_perimeter,seagrass_perim.area.ratio,saltmarsh_area,saltmarsh_core.area,saltmarsh_perimeter,saltmarsh_perim.area.ratio,oyster_area,oyster_core.area,oyster_perimeter,oyster_perim.area.ratio,habitat_total,NNratio,dist2adjPatch,richness_landscape,avg_temp,avgTempAll,avgTempNight,medTemp,minTemp,maxTemp,avg_spl_low,avg_spl_high,TFPercentPresenceNight,TFAvgPresentNight,TFMaxRate,PerchPercentPresenceNight,PerchAvgPresentNight,PerchMaxRate
comm_shannonD_sum,0.902850789,-0.034983527,0.186272029,0.253318829,-0.184823365,-0.405501631,-0.544701602,0.051039484,0.107740564,0.042959624,0.117938946,-0.405501631,-0.405501631,0.100346278,0.772125239,-0.391348324,0.737943521,0.325697487,-0.39350052,-0.211372083,0.510464681,1,0.946835484,-0.23180785,-0.30677213,0.286014901,0.810402968,0.249818569,0.372145765,0.077202977,-0.31784159,0.525930886,-0.067066202,0.103368181,0.245808363,0.294628215,-0.30677213,0.193658103,0.183279694,0.207027546,0.14147001,0.039101253,0.031730647,0.060769045,-0.045156093,-0.175528504,-0.095092626,-0.137098879,-0.205303135,0.146080086,0.135009374,0.189808347,0.149465365,0.674901452,0.849659929,0.850042598,0.860152096,0.692649684,0.742178956,-0.239868709,0.711310258,-0.65353625,-0.790018126,-0.695589343,-0.706341107,-0.767708057,-0.818293835
comm_evenness_sum,0.833093265,-0.178372458,0.320958994,0.311596714,-0.102579005,-0.437236319,-0.528983921,0.034364483,0.092727047,-0.000489755,0.055413797,-0.437236319,-0.437236319,0.044409592,0.592683416,-0.516648784,0.530066829,0.232539645,-0.350288274,-0.38245142,0.215806896,0.946835484,1,-0.403303525,-0.38926394,0.243601009,0.668204131,0.048585401,0.341014363,0.052146299,-0.492754662,0.316751702,-0.08907913,0.022492063,0.244717248,0.244645215,-0.38926394,0.22662158,0.177015263,0.276515381,0.214917647,0.126360483,0.122037811,0.109739591,-0.123447928,-0.223266503,-0.194446953,-0.129231728,-0.25485695,0.212844716,0.03904603,0.215305385,0.064095134,0.519181208,0.743869041,0.738335566,0.746368315,0.712959975,0.629374868,-0.249338523,0.580893601,-0.665786815,-0.737733927,-0.69589139,-0.593721329,-0.81109047,-0.804625411
carnivore,-0.280345461,0.461893181,0.023390427,0.033860942,0.006412422,0.409920791,-0.203343122,0.561559542,0.260560584,0.244291759,0.431071164,0.409920791,0.409920791,0.435425272,0.092747485,0.273563449,0.162383621,0.170941135,0.396552615,0.998430542,0.45266298,-0.23180785,-0.403303525,1,0.418381692,0.262697177,-0.122296522,0.489540195,0.496164945,0.524423602,0.987664147,0.049962263,0.390147358,0.421167058,0.439647484,0.547823713,0.418381692,0.2490819,0.234226945,0.232232264,0.03479651,0.08357576,0.099171384,-0.012056689,-0.038918298,0.286304781,0.251827635,0.200010633,0.157417143,0.283136719,0.05212222,-0.089344841,0.010416282,0.464787298,0.267946864,0.270204855,0.235164947,0.192956441,0.284341832,-0.035688955,0.158342953,0.548167484,0.543813784,0.633505143,-0.17173081,0.250958391,0.039820241
herbivore,-0.264820449,-0.202543317,0.18089511,-0.14334227,-0.10339968,-0.090909091,-0.090909091,-0.254823596,0.197801015,0.436432485,-0.168368446,-0.090909091,-0.090909091,-0.178398335,-0.281891561,-0.250161903,-0.279185243,0.202349467,-0.019766107,0.401978866,0.253791046,-0.30677213,-0.38926394,0.418381692,1,-0.168964464,-0.064935065,-0.199028079,0.003968998,-0.031423066,0.459422678,-0.205886748,0.538198048,-0.132790856,-0.239206987,0.027701407,1,-0.232540726,-0.298833669,-0.150427683,0.211487895,-0.229138407,-0.217086799,-0.244735307,-0.311587937,-0.124715171,-0.144387494,-0.087205536,0.349736568,-0.326515581,0.200806898,-0.086324081,-0.090909091,-0.111417421,-0.253628871,-0.232510441,-0.302741384,-0.03371517,-0.387348383,0.671600908,0.043138957,0.559519457,0.212998261,0.422089141,0.433193475,0.57064322,0.514316115
omnivore,0.328452558,-0.094854288,-0.175952154,-0.22227315,-0.142448012,-0.19832707,-0.195658381,0.177368433,-0.434035673,-0.500894091,-0.219594706,-0.19832707,-0.19832707,-0.23376876,0.484903706,-0.35809574,0.291194272,0.055667172,0.124629089,0.316319721,0.263684452,0.286014901,0.243601009,0.262697177,-0.168964464,1,0.058260183,0.682254723,0.137367502,0.671200193,0.254760057,0.39463788,-0.197683862,0.923654098,0.465311874,0.107209926,-0.168964464,0.025929975,0.024424104,0.006728495,0.116587084,-0.143093049,-0.166034297,0.022332205,0.424456561,-0.074684037,-0.197877793,0.063000363,0.343028837,-0.070157472,-0.308959262,-0.166294086,0.350588348,0.475320799,0.468730376,0.491111575,0.494993548,0.318705864,0.551060084,-0.26881878,0.088137843,-0.308811936,-0.171685402,-0.210476022,-0.255493086,-0.089240051,-0.242512169
soniferous_S,0.819682342,-0.112616156,-0.026663787,0.287110347,-0.128899752,-0.220779221,-0.532467532,0.080087416,0.286468478,0.266187721,-0.011521786,-0.220779221,-0.220779221,-0.02394893,0.75935684,-0.189603942,0.730316689,0.625698122,-0.50205912,-0.116850608,0.691361815,0.810402968,0.668204131,-0.122296522,-0.064935065,0.058260183,1,0.204938731,0.249689315,-0.206605799,-0.18013334,0.485115909,0.212015848,-0.056930235,-0.055075727,0.201641964,-0.064935065,0.084370311,0.188986018,-0.04657305,-0.125119947,0.086050034,0.074776187,0.113359081,-0.107922178,0.108487135,0.315394188,0.023226349,-0.156001685,0.129567448,0.514515941,0.007205044,0.194805195,0.522951768,0.645677169,0.640307814,0.65945236,0.34015062,0.583876199,-0.091865591,0.771917084,-0.413235871,-0.702425594,-0.538312057,-0.571410302,-0.592866493,-0.649883917
carn_2,0.265299984,0.281093393,-0.405929352,-0.186002322,-0.361716675,-0.012388717,-0.147572026,0.296815532,-0.191742375,-0.258559388,0.05028296,-0.012388717,-0.012388717,0.019542189,0.650714616,0.140108463,0.605107881,0.269736956,0.265787253,0.520764941,0.609375479,0.249818569,0.048585401,0.489540195,-0.199028079,0.682254723,0.204938731,1,0.221331937,0.513834894,0.472718829,0.572362187,-0.284799902,0.732066748,0.313084945,0.241667525,-0.199028079,0.110441714,0.138238917,0.061838287,0.037219092,-0.227583969,-0.251740502,-0.037095262,0.528821741,0.121597356,0.207517948,0.032301849,0.212281263,-0.021627293,0.091378026,-0.242878433,0.490116071,0.635600792,0.538416194,0.562790766,0.566801125,0.209026804,0.659912344,-0.34216535,0.211858219,-0.232810706,-0.1721364,-0.15182822,-0.403576677,-0.122547424,-0.287259867
detritivore,0.083529967,0.357691953,0.361425253,0.717358468,-0.245510074,-0.157188103,-0.356278706,0.739994283,0.697168464,0.53667913,0.68506983,-0.157188103,-0.157188103,0.666065488,0.168523684,-0.020679142,0.266726392,0.155382439,0.390945983,0.495674568,0.258650487,0.372145765,0.341014363,0.496164945,0.003968998,0.137367502,0.249689315,0.221331937,1,0.503722186,0.355944125,0.005659548,0.258237003,0.205661408,0.77189404,0.990068036,0.003968998,0.84899898,0.775365481,0.83080704,0.172779933,0.138895153,0.198616358,-0.241496249,-0.313255436,-0.164182,-0.010909104,-0.250494051,-0.381072866,0.713264383,0.223337973,0.29608255,-0.134016306,0.486732209,0.644688614,0.631027381,0.623611669,0.618753465,0.512956741,-0.304087817,0.273955358,-0.128865335,0.007938381,-0.014174741,-0.460708681,-0.316273354,-0.425188126
herb_2,-0.013419287,0.366029712,0.227050786,-0.08374021,-0.368116595,-0.144497195,-0.144497195,0.503657236,0.027706724,-0.056767952,0.374223888,-0.144497195,-0.144497195,0.343634228,0.182468809,-0.019407441,0.170320126,-0.092657973,0.29281432,0.554507257,0.124702436,0.077202977,0.052146299,0.524423602,-0.031423066,0.671200193,-0.206605799,0.513834894,0.503722186,1,0.470822774,0.082761909,0.008963025,0.721813454,0.82313961,0.51561033,-0.031423066,0.518679071,0.455985821,0.522727498,0.029053881,-0.324907781,-0.318852105,-0.277537814,0.128744695,-0.197113387,-0.215306173,-0.167597229,-0.008511119,0.194598175,-0.180087665,0.349165378,-0.08670287,0.366926379,0.385575844,0.385193723,0.384927543,0.399518936,0.33301515,-0.095848563,-0.072078608,-0.030003583,0.189088551,0.158087396,-0.190860787,0.009551081,-0.134595642
invertivore,-0.316817401,0.420565996,-0.020865008,-0.091017613,0.067380727,0.473503789,-0.15875533,0.469950359,0.157742666,0.169882401,0.336767277,0.473503789,0.473503789,0.346263907,0.062306075,0.284922934,0.115919046,0.159182687,0.355493091,0.985868022,0.432904594,-0.31784159,-0.492754662,0.987664147,0.459422678,0.254760057,-0.18013334,0.472718829,0.355944125,0.470822774,1,0.039362062,0.390293304,0.407100689,0.331709549,0.411039517,0.459422678,0.113698659,0.106133108,0.104161397,0.020872131,0.077735507,0.083528388,0.041642368,0.004546888,0.342155491,0.269656859,0.27110139,0.246670024,0.182869955,0.011842348,-0.152325886,0.033113211,0.412307916,0.171144276,0.175630459,0.137913609,0.104520455,0.210273233,0.027947618,0.128223757,0.622361421,0.588885902,0.692244306,-0.101635851,0.32863271,0.120484602
omni_2,0.434245383,0.349783876,-0.520355896,-0.23916356,-0.281930286,-0.205886748,-0.205886748,-0.200528367,-0.422295471,-0.433645944,0.054809484,-0.205886748,-0.205886748,0.029868333,0.597414204,-0.046023089,0.604031839,-0.107627561,-0.119135788,0.071960219,0.708421298,0.525930886,0.316751702,0.049962263,-0.205886748,0.39463788,0.485115909,0.572362187,0.005659548,0.082761909,0.039362062,1,-0.421667588,0.398261564,0.123226349,0.024284214,-0.205886748,-0.169740297,-0.064340179,-0.224973498,-0.116345881,-0.353131631,-0.356906765,-0.252159593,0.098772157,-0.220626032,-0.144627659,-0.264214812,-0.137133498,-0.360585153,-0.221000743,0.189132197,0.041534241,0.571408764,0.528394333,0.538140196,0.579009647,0.057621287,0.604786766,-0.349594522,0.296780367,-0.419803437,-0.515042279,-0.451741975,-0.370600651,-0.301303679,-0.369600571
piscivore,0.065500099,-0.200117966,0.60662652,0.135867982,0.409720617,0.314771166,-0.248739113,0.328975758,0.513609609,0.541973517,0.072462062,0.314771166,0.314771166,0.109150798,0.002541024,-0.066016229,-0.065864802,0.561935837,-0.184999782,0.372281869,0.156762168,-0.067066202,-0.08907913,0.390147358,0.538198048,-0.197683862,0.212015848,-0.284799902,0.258237003,0.008963025,0.390293304,-0.421667588,1,-0.300534727,-0.026939447,0.217995615,0.538198048,0.185617629,0.146671356,0.168712082,0.101245408,0.356958517,0.342308783,0.350777267,-0.36522073,0.475116599,0.428933491,0.492398013,0.2381228,0.413253558,0.425591135,-0.03802035,-0.063637576,0.090401959,0.037266762,0.008158365,-0.018353572,0.140607574,-0.054797758,0.553399509,0.487906396,0.52319323,0.256409775,0.466910629,-0.137697934,0.115822694,0.006906582
planktivore,0.085161843,0.152466777,-0.376903913,-0.130466044,-0.286566381,-0.128298272,-0.125276712,0.29419679,-0.333232362,-0.399915248,-0.035641919,-0.128298272,-0.128298272,-0.060923338,0.354966402,-0.106201275,0.265429506,-0.082529079,0.241183865,0.467654757,0.27369395,0.103368181,0.022492063,0.421167058,-0.132790856,0.923654098,-0.056930235,0.732066748,0.205661408,0.721813454,0.407100689,0.398261564,-0.300534727,1,0.56656038,0.227035218,-0.132790856,0.095913835,0.156321466,0.003100988,-0.114643337,-0.221249314,-0.220297213,-0.167229269,0.410249322,-0.124424636,-0.17159715,-0.081965086,0.176920667,-0.066354055,-0.299343217,-0.1072648,0.230971468,0.383557709,0.365417962,0.390678309,0.399744198,0.175825483,0.453237439,-0.41375594,-0.121677283,-0.197831363,0.027844862,-0.066709675,-0.135684725,0.035158363,-0.117972748
num_bai_chr,0.004468311,0.54616052,0.223310581,0.378600142,-0.238813541,-0.112102411,-0.17509229,0.689135224,0.277641862,0.103202373,0.691041342,-0.112102411,-0.112102411,0.672955031,0.142058545,0.08412353,0.227223914,-0.252802426,0.304934589,0.459072199,0.083139983,0.245808363,0.244717248,0.439647484,-0.239206987,0.465311874,-0.055075727,0.313084945,0.77189404,0.82313961,0.331709549,0.123226349,-0.026939447,0.56656038,1,0.783826719,-0.239206987,0.737490128,0.719930874,0.683509334,-0.086609576,-0.04236269,0.004697183,-0.294104521,-0.080931575,-0.259186969,-0.234565324,-0.272929334,-0.364427699,0.511931376,-0.230512732,0.485517875,-0.256467682,0.399093807,0.534483188,0.520867699,0.542584146,0.483461694,0.451146601,-0.43012538,-0.01483895,-0.182111389,0.154260893,0.034500442,-0.400263752,-0.215674256,-0.341208979
num_ort_chr,-0.006695647,0.448039052,0.279609314,0.704877627,-0.298085132,-0.128365162,-0.321167013,0.750224149,0.701739841,0.549162107,0.733753077,-0.128365162,-0.128365162,0.710640405,0.121019972,0.071937532,0.253408298,0.099097227,0.421051353,0.544707759,0.270899393,0.294628215,0.244645215,0.547823713,0.027701407,0.107209926,0.201641964,0.241667525,0.990068036,0.51561033,0.411039517,0.024284214,0.217995615,0.227035218,0.783826719,1,0.027701407,0.845215077,0.794757184,0.803917847,0.087845909,0.084459493,0.149899461,-0.313472556,-0.3156829,-0.180569129,-0.003454278,-0.299592417,-0.427503754,0.677752005,0.217355886,0.325122608,-0.182883389,0.447847406,0.590052179,0.577254507,0.572496142,0.542948361,0.464799506,-0.33090144,0.195607639,-0.077508416,0.077335144,0.043855135,-0.402464129,-0.256361144,-0.363397734
num_ops_tau,-0.264820449,-0.202543317,0.18089511,-0.14334227,-0.10339968,-0.090909091,-0.090909091,-0.254823596,0.197801015,0.436432485,-0.168368446,-0.090909091,-0.090909091,-0.178398335,-0.281891561,-0.250161903,-0.279185243,0.202349467,-0.019766107,0.401978866,0.253791046,-0.30677213,-0.38926394,0.418381692,1,-0.168964464,-0.064935065,-0.199028079,0.003968998,-0.031423066,0.459422678,-0.205886748,0.538198048,-0.132790856,-0.239206987,0.027701407,1,-0.232540726,-0.298833669,-0.150427683,0.211487895,-0.229138407,-0.217086799,-0.244735307,-0.311587937,-0.124715171,-0.144387494,-0.087205536,0.349736568,-0.326515581,0.200806898,-0.086324081,-0.090909091,-0.111417421,-0.253628871,-0.232510441,-0.302741384,-0.03371517,-0.387348383,0.671600908,0.043138957,0.559519457,0.212998261,0.422089141,0.433193475,0.57064322,0.514316115
seagrass_area,-0.040308086,0.337329399,0.376960198,0.64714729,-0.309867963,-0.201754421,-0.058581506,0.762639039,0.689451295,0.480345167,0.648235216,-0.201754421,-0.201754421,0.623517141,0.0079067,0.167138632,0.087169837,0.074737214,0.420606183,0.246191529,-0.043892898,0.193658103,0.22662158,0.2490819,-0.232540726,0.025929975,0.084370311,0.110441714,0.84899898,0.518679071,0.113698659,-0.169740297,0.185617629,0.095913835,0.737490128,0.845215077,-0.232540726,1,0.946429376,0.923598006,0.020840749,-0.009148783,0.040559372,-0.305484901,-0.211303792,-0.159771342,0.078669345,-0.289323463,-0.465418896,0.74962555,0.317451906,0.43833909,-0.185656228,0.145684674,0.372379498,0.342780189,0.372871643,0.324554981,0.27418418,-0.221780733,0.014248763,-0.230763715,0.032537547,-0.067389395,-0.323663414,-0.238035897,-0.275267609
seagrass_core.area,-0.023582942,0.419778764,0.163483147,0.66183288,-0.316777642,-0.121463184,-0.071520856,0.803639026,0.676044516,0.458955339,0.654749563,-0.121463184,-0.121463184,0.629873235,0.072821046,0.316352785,0.179971374,0.074851794,0.290449743,0.231463785,0.032283047,0.183279694,0.177015263,0.234226945,-0.298833669,0.024424104,0.188986018,0.138238917,0.775365481,0.455985821,0.106133108,-0.064340179,0.146671356,0.156321466,0.719930874,0.794757184,-0.298833669,0.946429376,1,0.754149157,-0.280067374,-0.006885072,0.044739158,-0.311948608,-0.188500452,-0.081930663,0.208911977,-0.272156132,-0.567164733,0.720844962,0.355352603,0.448780232,-0.230516625,0.105356581,0.338826755,0.305656942,0.357418289,0.163196494,0.273931102,-0.344063604,-0.01088314,-0.230509177,0.04704626,-0.072731804,-0.321744624,-0.259130106,-0.298179484
seagrass_perimeter,-0.048743673,0.263791407,0.571715328,0.538231282,-0.261910106,-0.254270217,-0.054818016,0.60421467,0.598262973,0.424211075,0.611242021,-0.254270217,-0.254270217,0.590187316,-0.059845265,-0.00752997,-0.001394151,0.013364114,0.502508131,0.228561027,-0.110575857,0.207027546,0.276515381,0.232232264,-0.150427683,0.006728495,-0.04657305,0.061838287,0.83080704,0.522727498,0.104161397,-0.224973498,0.168712082,0.003100988,0.683509334,0.803917847,-0.150427683,0.923598006,0.754149157,1,0.354325846,-0.01323354,0.029847902,-0.269918802,-0.234992945,-0.250067263,-0.111585505,-0.294483554,-0.336100943,0.674325356,0.182728526,0.41849275,-0.155029732,0.207566422,0.391510364,0.368919092,0.370950983,0.492647126,0.263055542,-0.087111649,0.05143173,-0.203774139,0.010881571,-0.052381238,-0.310425485,-0.219472205,-0.247628932
seagrass_perim.area.ratio,0.082608082,-0.41076105,0.451541305,-0.030363197,0.099062205,-0.272719691,-0.004626281,-0.213631522,-0.07498695,-0.053599589,-0.224194412,-0.272719691,-0.272719691,-0.218095532,-0.046931846,-0.590036285,-0.205500137,0.121862893,0.412471631,0.041113935,-0.052542274,0.14147001,0.214917647,0.03479651,0.211487895,0.116587084,-0.125119947,0.037219092,0.172779933,0.029053881,0.020872131,-0.116345881,0.101245408,-0.114643337,-0.086609576,0.087845909,0.211487895,0.020840749,-0.280067374,0.354325846,1,0.069824435,0.059690278,0.096312689,-0.013003955,-0.178517228,-0.338837697,0.020849054,0.442176019,0.028057702,-0.093465107,-0.254056898,0.327591185,0.238169785,0.199978492,0.218348205,0.155860295,0.449209742,0.162257125,0.297559161,0.210895973,-0.106554656,-0.219113111,-0.139419429,-0.07335716,0.033001437,0.017792193
saltmarsh_area,0.098779383,-0.145719175,0.230433794,0.422655925,0.816479019,0.638160134,-0.212853192,0.402506156,0.228114195,0.096016006,0.091839437,0.638160134,0.638160134,0.164929404,0.056597836,0.066393651,0.028009239,0.236306551,-0.0522733,0.073679263,-0.188965709,0.039101253,0.126360483,0.08357576,-0.229138407,-0.143093049,0.086050034,-0.227583969,0.138895153,-0.324907781,0.077735507,-0.353131631,0.356958517,-0.221249314,-0.04236269,0.084459493,-0.229138407,-0.009148783,-0.006885072,-0.01323354,0.069824435,1,0.994687839,0.80805604,-0.065117431,0.665683504,0.45039843,0.718316036,0.07189292,0.645842599,-0.026573447,-0.449767341,0.159565748,0.183550985,0.162057629,0.142487173,0.126992666,0.238416078,0.229986118,-0.310008996,0.366127658,0.229491199,0.286388108,0.250150284,-0.395454747,-0.312933692,-0.364304502
saltmarsh_core.area,0.054034953,-0.110893696,0.219736857,0.495474614,0.78512196,0.609360884,-0.207919425,0.428671328,0.275531986,0.137230971,0.144083225,0.609360884,0.609360884,0.214578224,0.010670727,0.071863583,0.00214124,0.190095956,-0.007706128,0.087679585,-0.200710834,0.031730647,0.122037811,0.099171384,-0.217086799,-0.166034297,0.074776187,-0.251740502,0.198616358,-0.318852105,0.083528388,-0.356906765,0.342308783,-0.220297213,0.004697183,0.149899461,-0.217086799,0.040559372,0.044739158,0.029847902,0.059690278,0.994687839,1,0.743274926,-0.11091186,0.608454617,0.410301431,0.65129189,0.012798492,0.673022616,-0.036106833,-0.413978146,0.11438663,0.166556741,0.162991164,0.143431458,0.128624609,0.241844518,0.219809315,-0.348749355,0.327267133,0.221806468,0.302499218,0.248764405,-0.377151146,-0.304346617,-0.351226249
saltmarsh_perimeter,0.32108247,-0.29013046,0.234442194,-0.100986121,0.817118961,0.677990344,-0.194231474,0.162083788,-0.104526288,-0.167830178,-0.213942306,0.677990344,0.677990344,-0.141876963,0.301989775,0.035798457,0.173174068,0.428030527,-0.303604776,-0.010695359,-0.081299426,0.060769045,0.109739591,-0.012056689,-0.244735307,0.022332205,0.113359081,-0.037095262,-0.241496249,-0.277537814,0.041642368,-0.252159593,0.350777267,-0.167229269,-0.294104521,-0.313472556,-0.244735307,-0.305484901,-0.311948608,-0.269918802,0.096312689,0.80805604,0.743274926,1,0.216497702,0.845929269,0.571544082,0.943629365,0.391643032,0.335985704,0.011873159,-0.549632182,0.371488763,0.241903637,0.11541487,0.10080024,0.083697497,0.167399871,0.23067322,-0.027165356,0.497160643,0.239581292,0.152458747,0.222884416,-0.408570956,-0.285585894,-0.353600686
