"","deploy_num","site","bare","halodule","zostera","ruppia","algae","oyster","saltmarsh","other","richness","shannonD","evenness","seagrass","richness_comb","shannonD_comb","evenness_comb","total_cover","Habitat","avg_blade_length","avg_shoot_density","max10","site_code","site_code2","habitat","depth_m_avg","sal_avg","total_abund_sum","comm_richness_sum","comm_shannonD_sum","comm_evenness_sum","carnivore","herbivore","omnivore","soniferous","soniferous_S","carn_2","detritivore","herb_2","invertivore","omni_2","piscivore","planktivore","num_bai_chr","num_ort_chr","num_ops_tau","index","seagrass_area","seagrass_core.area","seagrass_perimeter","seagrass_perim.area.ratio","saltmarsh_area","saltmarsh_core.area","saltmarsh_perimeter","saltmarsh_perim.area.ratio","oyster_area","oyster_core.area","oyster_perimeter","oyster_perim.area.ratio","total_hab_area","habitat_total","NNratio","dist2adjPatch","adj_hab_type","richness_landscape","avg_temp","avgTempAll","avgTempNight","medTemp","minTemp","maxTemp","avg_spl_low","avg_spl_high","TFPercentPresenceNight","TFAvgPresentNight","TFMaxRate","PerchPercentPresenceNight","PerchAvgPresentNight","PerchMaxRate"
"1",1,"Seagrass_10",74.6060606060606,24.9090909090909,0.333333333333333,0,0.151515151515152,0,0,0,2,0.0702587889411981,0.0702587889411981,25.2424242424242,1,0,NA,25.3939393939394,"Seagrass",5.77150485436893,58.1,7.97703333333333,"SG10","S10","seagrass",0.5,36,103.862660944206,6,0.517487124866231,0.200191346962233,4.11301859799714,0,0.468201326570425,"Y",3,0,1.71673819742489,0,8.58369098712446,0,0.122624156958921,1.03004291845494,0,3.43347639484979,0,2,31332,16236,20154,0.643240138,0,0,0,0,0,0,0,0,2753962,31332,0.381841,400.96,"seagrass",1,23.36296296,22.94625,22.6345,23,19.6,27.3,95.57126209,87.21736635,27.5,11.83636364,26,38,74.82894737,565
"2",1,"Seagrass_12",60.3030303030303,36.1515151515151,2.24242424242424,0,1.27272727272727,0,0,0.0303030303030303,2,0.222557978695312,0.222557978695312,38.3939393939394,1,0,NA,39.6969696969697,"Seagrass",8.37030357142857,115.5,11.887,"SG12","S12","seagrass",0.4,36,257.522123893805,8,0.352749233927811,0.117583077975937,10.693215339233,0,0.080450522928399,"Y",2,1.32743362831858,3.09734513274336,0,22.3652453740949,0,0.252844500632111,0.176991150442478,2.65486725663717,6.19469026548673,0,3,47725,20495,41302,0.865416448,1359,669,784,0.576894776,1098,98,2082,1.896174863,2753962,50182,0.530039,178.92,"seagrass",3,22.91358025,22.36171548,22.17564103,22.65,18.45,26.45,100.4876149,89.96851732,3,9.5,14,17,414,1322
"3",2,"Seagrass_2",39.1515151515151,50.6060606060606,5.54545454545455,0,4.39393939393939,0.303030303030303,0,0,3,0.354028937463662,0.223367390271113,56.1515151515151,2,0.0334120752517698,0.0334120752517698,60.8484848484849,"Seagrass",15.0057477477477,126.909090909091,21.5408666666667,"SG2","S2","seagrass",0.875,35,773.684210526316,11,0.48484376607719,0.140151279032414,32.2055137844611,0,0.0683526999316473,"Y",4,2.63157894736842,16.5413533834586,0,66.3021189336979,0,0.75187969924812,0.150375939849624,5.26315789473684,33.0827067669173,0,6,30904,17806,17754,0.574488739,72376,60311,14324,0.19791091,24105,5521,28080,1.164903547,2753962,127385,0.496374,77.49,"saltmarsh",2,26.2,24.85086806,24.49342105,24.7,21.1,29.4,95.76049595,102.9810844,71.49122807,23.04294479,75,0.877192982,81.5,149
"4",2,"Seagrass_4",64.3030303030303,25.8181818181818,9.24242424242424,0,0.636363636363636,0,0,0,2,0.57680196511603,0.57680196511603,35.0606060606061,1,0,NA,35.6969696969697,"Seagrass",10.7874555555556,53.75,14.8484,"SG4","S4","seagrass",1,35,782.825484764543,14,0.578533636582012,0.151951590651642,32.5023084025854,0.554016620498615,0.201460589272224,"Y",5,0.831024930747922,27.4238227146814,0.277008310249307,65.3235960715185,0,0.949742777997626,0.110803324099723,0,54.8476454293629,1.10803324099723,7,27287,8256,30014,1.099937699,0,0,0,0,2053,213,4020,1.958110083,2753962,29340,0.880966,220.88,"seagrass",2,25.20461538,24.225625,24.11210526,24,22.1,27.4,105.789676,101.2579679,60.52631579,11.83478261,51,24.21052632,350.3913043,1010
"5",3,"Seagrass_B",33.2121212121212,38.8484848484849,7.03030303030303,19.3939393939394,1.51515151515152,0,0,0,3,0.909436011688891,0.573790238743881,65.2727272727273,1,0,NA,66.7878787878788,"Seagrass",12.5745105263158,73.2222222222222,20.158,"SB","SB","seagrass",0.65,36,440,10,1.02882120546783,0.309706043020993,18.2679738562091,0,0.142602495543672,"Y",6,0,65.4901960784314,0,27.5222816399287,0,0.448179271708684,0.627450980392157,24.3137254901961,129.411764705882,0,10,99230,44933,87824,0.885054923,59771,57226,2568,0.042963979,0,0,0,0,2753962,159001,0.614467,259.3,"saltmarsh",2,25.69379085,26.52919321,26.40181818,26.45,24.45,29.75,91.67867866,99.80044353,1.025641026,8,9,0,0,0
"6",3,"Seagrass_C",20.8484848484848,57.2121212121212,18.4545454545455,3.48484848484848,0,0,0,0,3,0.711606330221366,0.448973606566456,79.1515151515152,1,0,NA,79.1515151515152,"Seagrass",13.7574201183432,86.1666666666667,21.0914333333333,"SC","SC","creek",0.65,36,568.085106382979,10,0.95224368644172,0.286653912800604,23.4338061465721,0,0.515796260477112,"Y",4,2.12765957446809,60.2836879432624,1.77304964539007,39.458413926499,0,0.60790273556231,0.283687943262411,33.3333333333333,118.439716312057,0,11,131292,50923,139788,1.064710721,0,0,0,0,0,0,0,0,2753962,131292,0.609476,908.091153,"saltmarsh",1,26.31013072,26.54921218,26.22540541,26.35,24.9,29.55,99.56533144,100.4578561,20,10.6025641,33,0,0,0
"7",4,"Seagrass_6",57.7272727272727,41.1515151515151,0.757575757575758,0,0.363636363636364,0,0,0,2,0.0904562766779035,0.0904562766779035,41.9090909090909,1,0,NA,42.2727272727273,"Seagrass",20.2278484848485,64.4666666666667,26.7702666666667,"SG6","S6","seagrass",0.8,37,527.331189710611,15,1.08255187846535,0.277087840566148,21.3826366559486,0,1.28617363344051,"Y",6,7.39549839228296,29.5819935691318,0,40.1636948260742,0.459347726228755,0.091869545245751,1.54340836012862,2.57234726688103,55.3054662379421,0,14,34516,8598,50658,1.467667169,9868,7416,2780,0.281718687,2195,442,2652,1.208200456,2753962,46579,0.501464,107.52,"seagrass",3,27.72279412,27.1728972,27.15387205,27.1,23.5,31.35,94.97159576,103.7566804,0,0,0,0,0,0
"8",4,"Seagrass_9",57.8181818181818,41.2727272727273,0.454545454545455,0.454545454545455,0,0,0,0,3,0.118956735340236,0.0750533437138801,42.1818181818182,1,0,NA,42.1818181818182,"Seagrass",22.5525844155844,70.5,27.4008666666667,"SG9","S9","seagrass",0.8,36,868.131868131868,14,0.928789972755855,0.243946254491533,33.8217338217338,0,5.12820512820513,"Y",5,9.52380952380952,41.7582417582418,2.1978021978022,64.2690642690643,0.313971742543171,0.313971742543171,9.96336996336996,33.6996336996337,83.5164835164835,0,15,70287,34787,50826,0.723120919,3988,2325,2104,0.527582748,3740,501,6290,1.681818182,2753962,78015,0.373866,176.63,"seagrass",3,27.2,27.15847953,27.14645062,27.25,23.45,31.2,93.76103334,98.60630358,3.418803419,8.666666667,18,0.56980057,130.5,151
"9",5,"Seagrass_14",45.6666666666667,51.5757575757576,1.57575757575758,0,1.18181818181818,0,0,0,2,0.133511289516425,0.133511289516425,53.1515151515151,1,0,NA,54.3333333333333,"Seagrass",19.6994285714286,80,27.4745,"S14","S14","seagrass",0.5,33,263.809523809524,15,1.18482584449466,0.303265682900474,10.6349206349206,0,0.779220779220779,"Y",8,1.42857142857143,19.047619047619,0,19.2207792207792,0.54421768707483,0.408163265306122,0.952380952380952,12.3809523809524,37.1428571428571,0,19,37118,25517,14700,0.396034269,0,0,0,0,0,0,0,0,2753962,37118,0.307564,777.17,"seagrass",1,26.21405229,26.27103594,25.988125,26.45,21,29.95,96.5755038,103.8626479,0,0,0,0,0,0
"10",5,"Seagrass_15",61.3636363636364,25.0606060606061,4.66666666666667,8.72727272727273,0.181818181818182,0,0,0,3,0.871557515913407,0.549891568738598,38.4545454545455,1,0,NA,38.6363636363636,"Seagrass",21.7632828282828,90.625,27.0629666666667,"S15","S15","seagrass",1.5,35.0869565217391,401.526717557252,14,1.03992974998191,0.273137065304094,16.5394402035623,0,0.416377515614157,"Y",9,4.58015267175572,40.8396946564885,0,27.6891047883414,0.109051254089422,0.763358778625954,0,3.81679389312977,77.0992366412214,0,20,101151,50463,69924,0.691283329,19388,15150,4488,0.231483392,12144,5757,9460,0.778985507,2753962,132683,1.677055,171.7,"oyster reef",3,25.66830065,26.09545455,25.82390625,26.15,21.2,30.05,98.51512057,105.7588521,0,0,0,0,0,0
"11",6,"Seagrass_1",81.2727272727273,0.242424242424242,14.8484848484848,0,3.63636363636364,0,0,0,2,0.0822985228585322,0.0822985228585322,15.0909090909091,1,0,NA,18.7272727272727,"Seagrass",18.225125,14.375,17.5829444433333,"SG1","S1","seagrass",1,34,101.652892561983,9,1.13374147764245,0.357655615551346,3.30578512396694,0,2.02854996243426,"Y",6,0,12.396694214876,0,6.46130728775357,0,0.708382526564345,0.165289256198347,0.826446280991736,2.47933884297521,0,23,28142,4563,40830,1.450856371,50282,39533,12394,0.246489798,8166,243,18632,2.281655645,2753962,86590,0.40829,71.52,"saltmarsh",3,25.92470588,25.98450704,25.78761261,25.85,24.2,29.75,101.108317,106.9943263,0,0,0,0,0,0
"12",6,"Seagrass_17",58.7575757575758,35.4545454545455,5.72727272727273,0,0.0606060606060606,0,0,0,2,0.403276858328715,0.403276858328715,41.1818181818182,1,0,NA,41.2424242424242,"Seagrass",23.1923277310924,91.4166666666667,33.3019333333333,"SG17","S17","seagrass",1,32,173.755656108597,13,1.15124204051097,0.311109524326825,7.01357466063348,0,0.493624023035788,"Y",7,3.16742081447964,7.69230769230769,0,13.4101192924722,0.129282482223659,0.258564964447317,0.361990950226244,0,10.8597285067873,0,24,16307,9573,9514,0.583430429,12427,7476,6148,0.494729219,5020,1443,5914,1.178087649,2753962,33754,0.908089,193.91,"seagrass",3,25.87588235,25.81826923,25.81,25.8,23.9,28.95,98.55484017,104.4535818,0,0,0,0,0,0
