,deploy_num,zostera,algae,saltmarsh,other,richness_comb,total_cover,depth_m_avg,sal_avg,carnivore,herbivore,omnivore,soniferous_S,seagrass_core.area,seagrass_perimeter,seagrass_perim.area.ratio,saltmarsh_area,saltmarsh_perim.area.ratio,oyster_perimeter,oyster_perim.area.ratio,NNratio,dist2adjPatch,PercentPresence
deploy_num,1,0.099457788,-0.036582859,0.356182142,-0.081450799,0.224661684,0.139769926,0.258768413,-0.566163634,-0.126188157,-0.183140309,0.378840514,0.310317965,0.080655271,0.002467337,-0.141736427,0.126938233,0.051333039,0.127715141,0.060060243,0.028551136,-0.065393089,-0.181072197
zostera,0.099457788,1,0.378304058,-0.315386605,-0.127328688,-0.110691099,0.465315144,-0.006049251,-0.08292058,0.470376666,0.266688919,-0.01044477,0.500619213,0.412791565,0.573413898,0.011409443,-0.280311611,-0.332493448,-0.255244441,-0.165090389,-0.043085936,0.043240526,0.154888362
algae,-0.036582859,0.378304058,1,-0.174531442,-0.126383257,0.243889397,0.337362685,0.038522862,-0.178165435,0.27365091,-0.015188163,-0.033362194,0.254015178,-0.017560296,0.091871849,0.017619512,0.056708811,-0.137502344,0.192613114,0.077123116,-0.186890075,-0.238133883,0.110106846
saltmarsh,0.356182142,-0.315386605,-0.174531442,1,0.159366938,0.588943085,-0.022703016,0.121415512,-0.235550769,-0.395324896,-0.109495622,-0.123046278,-0.427252466,-0.304606198,-0.272080948,-0.065572677,0.385440966,0.256657347,0.272267509,0.198124701,0.135470793,-0.142362423,0.166481626
other,-0.081450799,-0.127328688,-0.126383257,0.159366938,1,0.229908925,-0.185188298,-0.163438371,0.182287828,-0.153074986,-0.046408209,0.039146437,-0.083065504,-0.159169269,-0.011022387,0.186720949,0.590409966,-0.136554846,-0.131225385,0.327710812,-0.131474362,-0.026934584,-0.111975695
richness_comb,0.224661684,-0.110691099,0.243889397,0.588943085,0.229908925,1,0.399433522,0.259294633,-0.181871977,-0.05703153,-0.061541083,0.086872232,-0.110151656,-0.246938465,0.011162623,-0.043048709,0.6049232,0.300137826,0.564140709,0.25726985,0.281566015,-0.369753763,0.302626775
total_cover,0.139769926,0.465315144,0.337362685,-0.022703016,-0.185188298,0.399433522,1,0.043001294,-0.119330074,0.592084945,0.024991493,0.123756506,0.520723055,0.515990506,0.660310308,-0.134706157,-0.015727607,-0.255223137,0.161503715,-0.390175417,-0.095881947,-0.116967793,0.330618508
depth_m_avg,0.258768413,-0.006049251,0.038522862,0.121415512,-0.163438371,0.259294633,0.043001294,1,-0.24130279,-0.06964958,0.090070475,0.007526419,0.042164205,-0.133590091,0.047686448,-0.219569464,0.295245457,0.142889184,0.547605021,0.222263336,0.317908519,-0.106513533,0.213617912
sal_avg,-0.566163634,-0.08292058,-0.178165435,-0.235550769,0.182287828,-0.181871977,-0.119330074,-0.24130279,1,0.226088512,-0.016264687,-0.050142897,-0.221833221,0.20820872,0.287422759,0.229668951,-0.001078329,0.001911241,-0.192505052,0.029960931,0.007725181,-0.025690037,0.021837092
carnivore,-0.126188157,0.470376666,0.27365091,-0.395324896,-0.153074986,-0.05703153,0.592084945,-0.06964958,0.226088512,1,0.423538662,0.232874387,0.611895037,0.514592425,0.41234061,-0.127601491,-0.391666709,-0.245792186,-0.334593661,-0.174764546,-0.093317536,-0.109954602,0.194437036
herbivore,-0.183140309,0.266688919,-0.015188163,-0.109495622,-0.046408209,-0.061541083,0.024991493,0.090070475,-0.016264687,0.423538662,1,-0.085168498,0.146303901,-0.090546617,-0.026704558,0.030795044,-0.157704368,-0.235773997,-0.11406113,0.187097109,0.076951935,-0.060553235,0.443634983
omnivore,0.378840514,-0.01044477,-0.033362194,-0.123046278,0.039146437,0.086872232,0.123756506,0.007526419,-0.050142897,0.232874387,-0.085168498,1,0.229257614,0.102310538,0.209712695,0.066680911,0.045984826,0.015324204,0.096091159,0.138146007,-0.233934459,-0.1371433,-0.166482637
soniferous_S,0.310317965,0.500619213,0.254015178,-0.427252466,-0.083065504,-0.110151656,0.520723055,0.042164205,-0.221833221,0.611895037,0.146303901,0.229257614,1,0.550117491,0.3774557,-0.174447362,-0.371920299,-0.299508047,-0.368981158,-0.32600795,0.026725319,-0.144912075,-0.203753749
seagrass_core.area,0.080655271,0.412791565,-0.017560296,-0.304606198,-0.159169269,-0.246938465,0.515990506,-0.133590091,0.20820872,0.514592425,-0.090546617,0.102310538,0.550117491,1,0.683421938,-0.246793053,-0.354141876,-0.243071767,-0.316706408,-0.529524256,0.103505592,0.008535005,-0.102077881
seagrass_perimeter,0.002467337,0.573413898,0.091871849,-0.272080948,-0.011022387,0.011162623,0.660310308,0.047686448,0.287422759,0.41234061,-0.026704558,0.209712695,0.3774557,0.683421938,1,0.15991002,0.007064153,-0.324674416,0.093300421,-0.281136421,-0.057573801,-0.038872124,0.24046192
seagrass_perim.area.ratio,-0.141736427,0.011409443,0.017619512,-0.065572677,0.186720949,-0.043048709,-0.134706157,-0.219569464,0.229668951,-0.127601491,0.030795044,0.066680911,-0.174447362,-0.246793053,0.15991002,1,0.236626153,-0.080068044,0.147101938,0.417707264,-0.149182755,-0.353689691,0.127576526
saltmarsh_area,0.126938233,-0.280311611,0.056708811,0.385440966,0.590409966,0.6049232,-0.015727607,0.295245457,-0.001078329,-0.391666709,-0.157704368,0.045984826,-0.371920299,-0.354141876,0.007064153,0.236626153,1,-0.043715205,0.667321488,0.424253835,-0.080203068,-0.162096986,0.325859511
saltmarsh_perim.area.ratio,0.051333039,-0.332493448,-0.137502344,0.256657347,-0.136554846,0.300137826,-0.255223137,0.142889184,0.001911241,-0.245792186,-0.235773997,0.015324204,-0.299508047,-0.243071767,-0.324674416,-0.080068044,-0.043715205,1,0.130382224,0.454719158,0.662191076,-0.41622079,-0.245785544
oyster_perimeter,0.127715141,-0.255244441,0.192613114,0.272267509,-0.131225385,0.564140709,0.161503715,0.547605021,-0.192505052,-0.334593661,-0.11406113,0.096091159,-0.368981158,-0.316706408,0.093300421,0.147101938,0.667321488,0.130382224,1,0.261798092,0.061905086,-0.198580449,0.499596104
oyster_perim.area.ratio,0.060060243,-0.165090389,0.077123116,0.198124701,0.327710812,0.25726985,-0.390175417,0.222263336,0.029960931,-0.174764546,0.187097109,0.138146007,-0.32600795,-0.529524256,-0.281136421,0.417707264,0.424253835,0.454719158,0.261798092,1,0.131851499,-0.544469812,0.1596599
NNratio,0.028551136,-0.043085936,-0.186890075,0.135470793,-0.131474362,0.281566015,-0.095881947,0.317908519,0.007725181,-0.093317536,0.076951935,-0.233934459,0.026725319,0.103505592,-0.057573801,-0.149182755,-0.080203068,0.662191076,0.061905086,0.131851499,1,-0.38215483,-0.160406581
dist2adjPatch,-0.065393089,0.043240526,-0.238133883,-0.142362423,-0.026934584,-0.369753763,-0.116967793,-0.106513533,-0.025690037,-0.109954602,-0.060553235,-0.1371433,-0.144912075,0.008535005,-0.038872124,-0.353689691,-0.162096986,-0.41622079,-0.198580449,-0.544469812,-0.38215483,1,-0.029373636
PercentPresence,-0.181072197,0.154888362,0.110106846,0.166481626,-0.111975695,0.302626775,0.330618508,0.213617912,0.021837092,0.194437036,0.443634983,-0.166482637,-0.203753749,-0.102077881,0.24046192,0.127576526,0.325859511,-0.245785544,0.499596104,0.1596599,-0.160406581,-0.029373636,1
